Grade,Project #,Project name,Tool,Activity #,Activity name,Activity objective,Activity description,Activity duration,Source
6,2,Entertainment numbers,Excel 365,2,Top grossing films,"Fill cells with data.
Enter text and format it.
Adjust the width of the columns.
Insert columns.
Create simple formulas.
Copy and paste formulas.
Merge cells.
Get the total of a range of cells.
Apply number format.
Copy the format.
Calculate the average of a range of cells.
Insert hyperlinks.","Students create a data table to identify the highest grossing movies of all times. After gathering up-to-date information, they calculate how much the box office totaled and compare this data to the production budget in order to estimate profits.
",2c,Tbox
6,2,Entertainment numbers,Excel 365,3,Most valuable sports team,"Apply borders to the cells.
Apply fill color to the cells.
Modify the alignment of the contents in the cells.
Delete rows and columns.
Obtain the maximum and minimum values of a range.
Change the name of the spreadsheet in a book.
Work with images.
Insert a text box.
Apply conditional formatting.","What are the world’s most valuable sports teams? In this activity, students discover the monetary value of different sports teams and their growth rate during the last year. After working on the data table and performing basic calculations, they use conditional formatting to classify the information.
",2c,Tbox
6,2,Entertainment numbers,Excel 365,4,Most followers on a social network,"Remove formats.
Create a chart.
Change the size of a chart.
Add and modify elements of a chart.
Work with shapes.
Change the page orientation.
Establish a printing scale.
Modify page margins.
Sort and filter records in a table.","In this activity, students create a table to show the number of followers that artists, athletes or other celebrities have on a specific social network. They create and customize a statistics chart, use filters and set up the page options.
",2c,Tbox
6,2,Entertainment numbers,Excel 365,5,Best sellers,"Apply styles to tables.
Change the color of the spreadsheet's tab.
Change the order of the spreadsheets.
Define a header and footer.
Place the chart on a separate sheet.
Insert a comment in a cell.","Students create a table and a statistical chart to show the sales of one area of the entertainment industry, for instance the best-selling videogames of all time. They insert a header and footer on the sheets and reinforce the use of filters and conditional formatting.
",2c,Tbox
6,2,Entertainment numbers,Excel 365,6,An entertainment option,Put into practice what has been learned.,"Students use a spreadsheet to suggest an entertainment option for their school. They complete the basic proposal in the spreadsheet and determine the approximate costs to obtain the budget.
",2c,Tbox
6,2,Entertainment numbers,Excel 365,7,A survey to evaluate the project,Create an online survey.,"Students use a tool to design online surveys. This survey will help the evaluate the acceptance level of their proposal. They analyze the data obtained to identify ways to improve their project.
",2c,Tbox
6,3,Programming your video game,Gamefroot,1,Let's research about video games,"Use an electronic source to search for information about game design.
Describe the main options of the game creation tool.",Students research about video games and game design. They learn the main options of Gamefroot to create their own game.,2c,Cursor
6,3,Programming your video game,Gamefroot,2,Planning and designing screens,"Design levels and characters.
Program game logic and publish the game.","Students use Gamefroot to plan screens, design the main character, add score and time, publish the game and create another level.",2c,Cursor
6,3,Programming your video game,Gamefroot,3,Main character,"Design levels and characters.
Program game logic and publish the game.","Students use Gamefroot to plan screens, design the main character, add score and time, publish the game and create another level.",2c,Cursor
6,3,Programming your video game,Gamefroot,4,Score and time,"Design levels and characters.
Program game logic and publish the game.","Students use Gamefroot to plan screens, design the main character, add score and time, publish the game and create another level.",2c,Cursor
6,3,Programming your video game,Gamefroot,5,Publishing the game,"Design levels and characters.
Program game logic and publish the game.","Students use Gamefroot to plan screens, design the main character, add score and time, publish the game and create another level.",2c,Cursor
6,3,Programming your video game,Gamefroot,6,Another level,"Design levels and characters.
Program game logic and publish the game.","Students use Gamefroot to plan screens, design the main character, add score and time, publish the game and create another level.",2c,Cursor
6,3,Programming your video game,Gamefroot,7,Educational video game,Put into practice what has been learned.,Students present their educational video game. They put into practice what they have learned and share their game with others.,2c,Cursor
6,4,Mobile fun,Access 365,1,Let's learn more about databases,"Describe what a database is and its uses.
Identify tables, records and fields.",Students learn more about databases and their uses. They explore Access 365 to create a database related to mobile applications or games.,2c,Cursor
6,4,Mobile fun,Access 365,2,Creating tables,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to create tables, relate them with queries, create forms, design reports and build a video game ratings database.",2c,Cursor
6,4,Mobile fun,Access 365,3,Relating tables and creating queries,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to create tables, relate them with queries, create forms, design reports and build a video game ratings database.",2c,Cursor
6,4,Mobile fun,Access 365,4,Creating forms,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to create tables, relate them with queries, create forms, design reports and build a video game ratings database.",2c,Cursor
6,4,Mobile fun,Access 365,5,Designing reports,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to create tables, relate them with queries, create forms, design reports and build a video game ratings database.",2c,Cursor
6,4,Mobile fun,Access 365,6,Video game ratings,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to create tables, relate them with queries, create forms, design reports and build a video game ratings database.",2c,Cursor
6,4,Mobile fun,Access 365,7,How does the database work,Put into practice what has been learned.,Students demonstrate how the database works and share their project. They put into practice what they have learned with Access 365.,2c,Cursor
7,1,Unmanned flights,Storyboard That,1,Let's research to learn,"Recognize the main options of an educational platform.
Explain what a drone is and its characteristics.
Describe the basic operation of a drone.
List applications of drones today.
Define what is ethics and its relationship with technology.
List essential ethical considerations when using technology tools.","Students use the website of the project and other online sources to research about drones: their functioning and current uses. In addition, they learn about ethics and its importance when using technology tools.
",2c,Tbox
7,1,Unmanned flights,Storyboard That,2,Creating a comic,"Identify the main options of a tool to design a comic.
Select and modify the background of the scenes.
Add characters in the scenes.
Add and modify text calls.
Save and share a story.","It’s time to design a comic! In this activity, students use an online tool to create a comic strip that shows a concrete situation where a drone can be used in creative manner.
",2c,Tbox
7,2,Business Plan,Word 365,1,Looking into the business world,"Explain the usefulness of styles in a word processor.
Describe the advantages of using tables in a document.
Identify options for using references in a document.
Define what online advertising and its advantages are.
List the risks of online advertising.","Students further their knowledge on word processors and they look into basic concepts of the business world which allow them to create their own business plan. Additionally, they learn about online advertising: definitions, advantages and risks. A key element of this activity is a brainstorm intended to choose the product or service that will be the core of their business plan.
",2c,Tbox
7,2,Business Plan,Word 365,2,Starting a business plan,"Modify the page settings.
Insert header and footer.
Insert a page number.
Change the view of a document.
Insert symbols or special characters.
Apply format to the text.
Modify the alignment and spacing of a paragraph.
Apply predesigned styles to the text.
Organize the text in columns.","In this activity students create and set up a new document in order to start their business plan based on the product or service chosen. They use formatting tools to complete the first two sections: executive summary and company description.
",2c,Tbox
7,2,Business Plan,Word 365,3,Market analysis and company structure,"Insert images.
Apply effects to the image.
Use the Format painter tool.
Insert page breaks.
Create a numbered or bulleted list.
Create a table by defining rows and columns.
Merge cells.
Insert a footnote.
Prepare an organization chart.
Check the spelling of a document.","Students continue working on their business plan. They develop the market analysis and the company organization. They work with images, lists, tables, organization chart, spelling checker and references.
",2c,Tbox
7,2,Business Plan,Word 365,4,The business plan continues,"Create an artistic text.
Insert shapes.
Insert text boxes.
Align and position objects.
Sort the data of a table.
Perform mathematical operations in a table.
Apply styles to the tables.","In this activity students prepare two new sections for their business plan: description of the products or services and financial projections. They use shapes, text boxes, artistic text and formulas in tables.
",2c,Tbox
7,2,Business Plan,Word 365,5,Implementation stages,"Highlight texts.
Create a flowchart.
Insert hyperlinks.
Insert a cover page.
Insert a table of contents.
Modify print settings.
Modify the properties of a document.
Save a document as PDF.","Students prepare a new section for their business plan: the implementation stages. In addition, they add a cover and the table of contents. Finally, they adjust the settings to print the document.
",2c,Tbox
7,2,Business Plan,Word 365,6,Marketing plan,Put into practice what has been learned.,"In this activity students complete their business plan by defining the marketing plan they will follow to promote their products or services. They put into practice what they have learned to complete the document and explore new tools to accomplish the final version of their proposal.
",2c,Tbox
7,2,Business Plan,Word 365,7,Business fair,Share the proposals of undertakings.,"Students work in teams to prepare a business fair and show their plans to the school community and other actors in the city.
",2c,Tbox
7,3,"Data here, data there",Data analysis,1,Research,"Use an electronic source to search for information.
Describe basic concepts of data analysis.",Students research about data analysis and its importance. They learn basic concepts and tools for exploring data.,2c,Cursor
7,3,"Data here, data there",Data analysis,2,Explore,"Explore and organize data.
Build and interpret visualizations.",Students explore data sets and build visualizations or analyses using the data analysis tools introduced in the project.,2c,Cursor
7,3,"Data here, data there",Data analysis,3,Explore,"Explore and organize data.
Build and interpret visualizations.",Students explore data sets and build visualizations or analyses using the data analysis tools introduced in the project.,2c,Cursor
7,3,"Data here, data there",Data analysis,4,Build,"Integrate what has been learned into a product or project.
Apply the tool features to the project theme.",Students explore data sets and build visualizations or analyses using the data analysis tools introduced in the project.,2c,Cursor
7,3,"Data here, data there",Data analysis,5,Apply,Put into practice what has been learned.,Students apply what they have learned to a real data analysis task. They put into practice the skills developed in the project.,2c,Cursor
7,4,Digital Marketing,PowerPoint 365,1,Time to research,"List the main options of a presentation editor.
Use an electronic source to search for information.",Students research about digital marketing. They learn the main options of PowerPoint and how to search for information.,2c,Cursor
7,4,Digital Marketing,PowerPoint 365,2,Basic concepts,"Create and format slides.
Insert images, text and apply transitions.","Students use PowerPoint to create presentations on basic concepts, online and offline digital marketing, social media facts and marketing materials.",2c,Cursor
7,4,Digital Marketing,PowerPoint 365,3,Online marketing,"Create and format slides.
Insert images, text and apply transitions.","Students use PowerPoint to create presentations on basic concepts, online and offline digital marketing, social media facts and marketing materials.",2c,Cursor
7,4,Digital Marketing,PowerPoint 365,4,Offline digital marketing,"Create and format slides.
Insert images, text and apply transitions.","Students use PowerPoint to create presentations on basic concepts, online and offline digital marketing, social media facts and marketing materials.",2c,Cursor
7,4,Digital Marketing,PowerPoint 365,5,Social media facts,"Create and format slides.
Insert images, text and apply transitions.","Students use PowerPoint to create presentations on basic concepts, online and offline digital marketing, social media facts and marketing materials.",2c,Cursor
7,4,Digital Marketing,PowerPoint 365,6,Digital marketing materials,"Create and format slides.
Insert images, text and apply transitions.","Students use PowerPoint to create presentations on basic concepts, online and offline digital marketing, social media facts and marketing materials.",2c,Cursor
7,4,Digital Marketing,PowerPoint 365,7,Sharing the materials,Put into practice what has been learned.,Students share the digital marketing materials they have created. They put into practice what they have learned and present their work.,2c,Cursor
8,1,Internet of things,Drawings,1,Let's learn about the Internet of Things,"Recognize the main options of an educational platform.
Explain what the Internet of Things is.
Describe specific situations in which the Internet of Things can transform our daily life.
Present the consequences of the loss of privacy in social networks.
List actions to protect privacy in social networks.","In this activity, students look into the Internet of Things. They learn what it is, its implications in the near future and other interesting facts. In addition, the importance of protecting their privacy in social media will be discussed.
",2c,Tbox
8,1,Internet of things,Drawings,2,Notes in a sketch,"Identify the main options of a tool to create annotations or sketches.
Add and modify text in the sketch.
Draw shapes and arrows in the sketch.
Insert images in the sketch.
Save a sketch or annotation.
Share a sketch or annotation.","Everyone taking notes! Students create a sketch to summarize what they have learned about the concept of the Internet of Things. The sketch includes shapes, texts with important ideas and representative images.
",2c,Tbox
8,2,Positive footprints,Google Sites,1,Learning more about web design,"Define what web design is.
List the main stages to design a website.
Identify basic HTML tags.
Present practical tips to design a good website.
Describe what the footprint is and the ways in which it is created.
Recommend actions to manage the footprint.","Students learn more about web design and practical recommendations to build a good website. They also learn about the digital footprint and how it is created.
",2c,Tbox
8,2,Positive footprints,Google Sites,2,Planning the website,"Plan the design of a website.
Locate useful information to include on the website.
Download and optimize images to include in the website.
Curate other web resources to include in the site.
Organize resources within the website folder.","Students specify the approach of the “Positive footprints” web campaign and complete the planning for it. Based on this planning, students search for information and resources for the web design.
",2c,Tbox
8,2,Positive footprints,Google Sites,3,The homepage,"Start the creation of a new website.
Modify basic properties of the page.
Create and modify containers or blocks to define the structure of the page.
Enter text on a webpage and format it.
Define the website footer.
Preview the webpage in the browser.","Students create the homepage for their website. In this page students include the title of the campaign, explain what it is about and its purpose. It is a call to action.
",2c,Tbox
8,2,Positive footprints,Google Sites,4,The main message,"Add a new page on the site.
Work with images on the webpage.
Insert and configure links.
Insert videos on the webpage.","In this activity, students create the second page of the website. In this page, students add information about the main message of the “Positive footprints” campaign. They use images, videos and links to enrich the content.
",2c,Tbox
8,2,Positive footprints,Google Sites,5,More content for the website,"Add sections with collapsing text.
Include a gallery of images on the page.
Create a form on the website.
Insert buttons.","Students create the third page of their website. In this page, they include experts’ opinion on the topic, as well as examples, practical cases or other content to complement the message of their campaign. They use tables to organize this information and create a form to receive contributions from people who visit the site.
",2c,Tbox
8,2,Positive footprints,Google Sites,6,The author's page,Customize the website design.,"In this activity, students create the author’s page, including relevant information to leave their digital footprint. In addition, they verify the navigation system between pages and make the final adjustments to finish the website.
",2c,Tbox
8,2,Positive footprints,Google Sites,7,Publishing and promoting the website,"Publish a website.
Embed external elements in the web site.
Update the changes made to the published version of the site.
Promote a website using different media.","Students publish the website and use different means to promote their campaign: email, social networks and advertisements at their school.
",2c,Tbox
8,3,Red card to bullying,Headliner,1,Learning more about video editing,"Describe the main options of a video editing tool.
Use an electronic source to search for information.",Students learn more about video editing and its role in raising awareness. They explore Headliner and research the topic.,2c,Cursor
8,3,Red card to bullying,Headliner,2,Creating a storyboard,"Plan and create a storyboard.
Edit video, add narration and music.","Students use Headliner to create a storyboard, gather materials, edit the video, add narration and music, and create a promotional video against bullying.",2c,Cursor
8,3,Red card to bullying,Headliner,3,Gathering and producing materials,"Plan and create a storyboard.
Edit video, add narration and music.","Students use Headliner to create a storyboard, gather materials, edit the video, add narration and music, and create a promotional video against bullying.",2c,Cursor
8,3,Red card to bullying,Headliner,4,The editing begins,"Plan and create a storyboard.
Edit video, add narration and music.","Students use Headliner to create a storyboard, gather materials, edit the video, add narration and music, and create a promotional video against bullying.",2c,Cursor
8,3,Red card to bullying,Headliner,5,Narration and music for my video,"Plan and create a storyboard.
Edit video, add narration and music.","Students use Headliner to create a storyboard, gather materials, edit the video, add narration and music, and create a promotional video against bullying.",2c,Cursor
8,3,Red card to bullying,Headliner,6,Creating a promotional video,"Plan and create a storyboard.
Edit video, add narration and music.","Students use Headliner to create a storyboard, gather materials, edit the video, add narration and music, and create a promotional video against bullying.",2c,Cursor
8,3,Red card to bullying,Headliner,7,Red Card event,Share the video with the community.,Students participate in the Red Card event and share their promotional videos. They put into practice what they have learned about video and the campaign.,2c,Cursor
8,4,Animated digital citizenship,Animaker,1,Learning about digital animation,"Describe the main options of an animation tool.
Use an electronic source to search for information.",Students learn about digital animation and digital citizenship topics. They explore Animaker and its main options.,2c,Cursor
8,4,Animated digital citizenship,Animaker,2,Netiquette tips,"Create an animation with characters and scenes.
Add text, voice and export the animation.","Students use Animaker to create short animations about netiquette, ergonomics, shopping online, security tips and digital reputation.",2c,Cursor
8,4,Animated digital citizenship,Animaker,3,Ergonomics tips,"Create an animation with characters and scenes.
Add text, voice and export the animation.","Students use Animaker to create short animations about netiquette, ergonomics, shopping online, security tips and digital reputation.",2c,Cursor
8,4,Animated digital citizenship,Animaker,4,Shopping online,"Create an animation with characters and scenes.
Add text, voice and export the animation.","Students use Animaker to create short animations about netiquette, ergonomics, shopping online, security tips and digital reputation.",2c,Cursor
8,4,Animated digital citizenship,Animaker,5,Security tips,"Create an animation with characters and scenes.
Add text, voice and export the animation.","Students use Animaker to create short animations about netiquette, ergonomics, shopping online, security tips and digital reputation.",2c,Cursor
8,4,Animated digital citizenship,Animaker,6,Digital reputation,"Create an animation with characters and scenes.
Add text, voice and export the animation.","Students use Animaker to create short animations about netiquette, ergonomics, shopping online, security tips and digital reputation.",2c,Cursor
8,4,Animated digital citizenship,Animaker,7,Animated science,Put into practice what has been learned.,Students create an animated science or citizenship piece and share it. They put into practice what they have learned with Animaker.,2c,Cursor
9,1,Eco Apps,App Inventor,1,Investigar,"Definir qué es una aplicación móvil.
Identificar las etapas del ciclo de vida de una aplicación móvil.
Explorar el entorno de desarrollo de App Inventor.
Describir qué es el consumo responsable y acciones clave para lograrlo.","En esta actividad los estudiantes utilizan el sitio web del proyecto para aprender más sobre el desarrollo de aplicaciones móviles y familiarizarse con la temática de este proyecto. Además, conocen el entorno de trabajo de App Inventor.
",2c,Tbox
9,1,Eco Apps,App Inventor,2,Explorar,"Crear un nuevo proyecto.
Configurar las propiedades de componentes de la aplicación: screen, botones y label.
Insertar un layout.
Agregar bloques de programación.
Comprobar el funcionamiento de la aplicación.
Exportar y descargar un proyecto.","En esta actividad los estudiantes crean una aplicación móvil que muestra consejos que ayudan a mejorar los hábitos de consumo responsable.
",2c,Tbox
9,1,Eco Apps,App Inventor,3,Explorar,"Añadir pantallas en la aplicación.
Agregar y programar un temporizador.
Controlar mensajes en pantalla.
Usar botones para moverse entre las pantallas de una aplicación.","En esta actividad los estudiantes crean una aplicación que les ayudará a conocer más sobre el manejo de los residuos o basura que desechamos.
",2c,Tbox
9,1,Eco Apps,App Inventor,4,Explorar,"Generar notificaciones dentro de la aplicación.
Utilizar la estructura condicional if.
Obtener el archivo apk de la aplicación.","Los estudiantes diseñan una calculadora para obtener el resultado del CO2 emitido según el tipo de motor y la distancia recorrida. Utilizan los componentes Spinner y Notifier para diseñar esta aplicación.
",2c,Tbox
9,1,Eco Apps,App Inventor,5,Explorar,"Crear listas interactivas en una aplicación.
Programar botones para abrir una URL.","¡A cuidar el medio ambiente! En esta actividad los estudiantes crean una aplicación que muestra diferentes consejos para cuidar el medio ambiente. Utilizan los componentes Listview, Webview y el ActivityStarter para visualizar los consejos.
",2c,Tbox
9,1,Eco Apps,App Inventor,6,Explorar,"Crear una interfaz de registro e inicio de sesión.
Almacenar y consultar usuarios registrados.
Desplegar mapas dentro de una aplicación.","Los estudiantes diseñan una aplicación que muestre mapas de diferentes lugares donde pueden realizar turismo ecológico. Utilizan el componente TinyDB1 para almacenar los usuarios registrados.
",2c,Tbox
9,1,Eco Apps,App Inventor,7,Explorar,"Incluir y programar objetos para leer códigos de barra y QR desde una aplicación.
Utilizar una herramienta en línea para generar códigos QR.","En esta actividad los estudiantes crean una aplicación para leer códigos de barra de productos de consumo diario y códigos QR con acceso a diferentes contenidos. También, aprenden a generar sus propios códigos QR.
",2c,Tbox
9,1,Eco Apps,App Inventor,8,Explorar,"Incluir y programar sonidos.
Declarar variables y definir su estado inicial.
Programar objetos para que puedan ser arrastrados.
Diseñar un sistema de puntaje.
Establecer un tiempo límite en una pantalla.","Los estudiantes crean un juego donde tienen que reciclar objetos según el material de fabricación. Utilizan los componentes Canvas, ImageSprite y Sound para controlar los elementos del juego.
",2c,Tbox
9,1,Eco Apps,App Inventor,9,Construir,Poner en práctica lo aprendido.,"En esta actividad los estudiantes diseñan su propia aplicación móvil sobre algún tema educativo o para resolver una necesidad de su institución. En esta actividad ponen en práctica lo aprendido y pueden explorar otras opciones.
",2c,Tbox
9,1,Eco Apps,App Inventor,10,Aplicar,Poner en práctica lo aprendido.,"Trabajando con el docente del área de Ciencias, los estudiantes investigan sobre las energías renovables. Con su grupo de trabajo diseñan una aplicación móvil para mostrar los usos de una energía renovable en la actualidad.
",2c,Tbox
9,2,Más que mil palabras,Gimp,1,Investigar,"Reconocer las principales opciones de una plataforma educativa.
Usar una fuente electrónica para buscar información.
Describir conceptos relacionados con el tema del proyecto.","En esta actividad los estudiantes utilizan el sitio web del proyecto para investigar sobre el tema. Además, se familiarizan con las opciones principales de la herramienta Gimp.",2c,Cursor
9,2,Más que mil palabras,Gimp,2,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Gimp en el marco del proyecto «Más que mil palabras». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
9,2,Más que mil palabras,Gimp,3,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Gimp en el marco del proyecto «Más que mil palabras». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
9,2,Más que mil palabras,Gimp,4,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Gimp en el marco del proyecto «Más que mil palabras». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
9,2,Más que mil palabras,Gimp,5,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Gimp en el marco del proyecto «Más que mil palabras». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
9,2,Más que mil palabras,Gimp,6,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Gimp en el marco del proyecto «Más que mil palabras». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
9,2,Más que mil palabras,Gimp,7,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Gimp en el marco del proyecto «Más que mil palabras». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
9,2,Más que mil palabras,Gimp,8,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Gimp en el marco del proyecto «Más que mil palabras». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
9,2,Más que mil palabras,Gimp,9,Construir,"Integrar lo aprendido en un producto o proyecto.
Aplicar las funciones de la herramienta al tema del proyecto.",En esta actividad los estudiantes trabajan con Gimp en el marco del proyecto «Más que mil palabras». Realizan la actividad «Construir» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
9,2,Más que mil palabras,Gimp,10,Aplicar,Poner en práctica lo aprendido.,Los estudiantes ponen en práctica lo aprendido en el proyecto «Más que mil palabras». Utilizan la herramienta Gimp para completar un producto final relacionado con la temática.,2c,Cursor
9,3,Introduction to Python,Python,1,Learning about Python,"Describe the main features of Python.
Use an electronic source to search for information.","Students use the website of the project to research about the topic. In addition, they learn about the main options of Python and how it supports the project theme.",2c,Cursor
9,3,Introduction to Python,Python,2,Variables and data types,"Write and run Python code.
Use variables, control structures and functions.",Students work with Python as part of the project «Introduction to Python». They complete the activity «Variables and data types» using the tool to apply their skills to the project theme.,2c,Cursor
9,3,Introduction to Python,Python,3,Text strings,"Write and run Python code.
Use variables, control structures and functions.",Students work with Python as part of the project «Introduction to Python». They complete the activity «Text strings» using the tool to apply their skills to the project theme.,2c,Cursor
9,3,Introduction to Python,Python,4,Use of lists,"Write and run Python code.
Use variables, control structures and functions.",Students work with Python as part of the project «Introduction to Python». They complete the activity «Use of lists» using the tool to apply their skills to the project theme.,2c,Cursor
9,3,Introduction to Python,Python,5,Turtle graphics module,"Write and run Python code.
Use variables, control structures and functions.",Students work with Python as part of the project «Introduction to Python». They complete the activity «Turtle graphics module» using the tool to apply their skills to the project theme.,2c,Cursor
9,3,Introduction to Python,Python,6,Use of for,"Write and run Python code.
Use variables, control structures and functions.",Students work with Python as part of the project «Introduction to Python». They complete the activity «Use of for» using the tool to apply their skills to the project theme.,2c,Cursor
9,3,Introduction to Python,Python,7,"Use of if, elif, and else","Write and run Python code.
Use variables, control structures and functions.","Students work with Python as part of the project «Introduction to Python». They complete the activity «Use of if, elif, and else» using the tool to apply their skills to the project theme.",2c,Cursor
9,3,Introduction to Python,Python,8,Using the while loop,"Write and run Python code.
Use variables, control structures and functions.",Students work with Python as part of the project «Introduction to Python». They complete the activity «Using the while loop» using the tool to apply their skills to the project theme.,2c,Cursor
9,3,Introduction to Python,Python,9,Programming challenges,"Write and run Python code.
Use variables, control structures and functions.",Students work with Python as part of the project «Introduction to Python». They complete the activity «Programming challenges» using the tool to apply their skills to the project theme.,2c,Cursor
9,3,Introduction to Python,Python,10,Hackathon,Put into practice what has been learned.,Students put into practice what they have learned in the project. They use Python to create or share a final product related to «Introduction to Python».,2c,Cursor
10,1,Diseño web con HTML5,Word 365,1,Investigar,"Reconocer las principales opciones de una plataforma educativa.
Usar una fuente electrónica para buscar información.
Describir conceptos relacionados con el tema del proyecto.","En esta actividad los estudiantes utilizan el sitio web del proyecto para investigar sobre el tema. Además, se familiarizan con las opciones principales de la herramienta Word 365.",2c,Cursor
10,1,Diseño web con HTML5,Moqups,2,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Moqups en el marco del proyecto «Diseño web con HTML5». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
10,1,Diseño web con HTML5,Squarespace,3,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Squarespace en el marco del proyecto «Diseño web con HTML5». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
10,1,Diseño web con HTML5,Notepad++,4,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Notepad++ en el marco del proyecto «Diseño web con HTML5». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
10,1,Diseño web con HTML5,Bootstrap,5,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Bootstrap en el marco del proyecto «Diseño web con HTML5». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
10,1,Diseño web con HTML5,Notepad++,6,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Notepad++ en el marco del proyecto «Diseño web con HTML5». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
10,1,Diseño web con HTML5,Notepad++,7,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Notepad++ en el marco del proyecto «Diseño web con HTML5». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
10,1,Diseño web con HTML5,Notepad++,8,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Notepad++ en el marco del proyecto «Diseño web con HTML5». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
10,1,Diseño web con HTML5,Notepad++,9,Construir,"Integrar lo aprendido en un producto o proyecto.
Aplicar las funciones de la herramienta al tema del proyecto.",En esta actividad los estudiantes trabajan con Notepad++ en el marco del proyecto «Diseño web con HTML5». Realizan la actividad «Construir» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
10,1,Diseño web con HTML5,Notepad++,10,Aplicar,Poner en práctica lo aprendido.,Los estudiantes ponen en práctica lo aprendido en el proyecto «Diseño web con HTML5». Utilizan la herramienta Notepad++ para completar un producto final relacionado con la temática.,2c,Cursor
10,2,"Lights, camera, action",Clipchamp,1,Research,"Describe the main options of a video editing tool.
Use an electronic source to search for information.","Students use the website of the project to research about the topic. In addition, they learn about the main options of Clipchamp and how it supports the project theme.",2c,Cursor
10,2,"Lights, camera, action",Clipchamp,2,Explore,"Import and arrange clips.
Edit video, add titles and export.","Students work with Clipchamp as part of the project «Lights, camera, action». They complete the activity «Explore» using the tool to apply their skills to the project theme.",2c,Cursor
10,2,"Lights, camera, action",Clipchamp,3,Explore,"Import and arrange clips.
Edit video, add titles and export.","Students work with Clipchamp as part of the project «Lights, camera, action». They complete the activity «Explore» using the tool to apply their skills to the project theme.",2c,Cursor
10,2,"Lights, camera, action",Clipchamp,4,Explore,"Import and arrange clips.
Edit video, add titles and export.","Students work with Clipchamp as part of the project «Lights, camera, action». They complete the activity «Explore» using the tool to apply their skills to the project theme.",2c,Cursor
10,2,"Lights, camera, action",Clipchamp,5,Explore,"Import and arrange clips.
Edit video, add titles and export.","Students work with Clipchamp as part of the project «Lights, camera, action». They complete the activity «Explore» using the tool to apply their skills to the project theme.",2c,Cursor
